"name","value"
"AGUSTA SPA_A109E",1582
"AIRBUS INDUSTRIE_A319-112",2001
"AIRBUS INDUSTRIE_A319-114",2001
"AIRBUS INDUSTRIE_A319-131",320
"AIRBUS INDUSTRIE_A319-132",1952
"AIRBUS INDUSTRIE_A320-211",2001
"AIRBUS INDUSTRIE_A320-212",2001
"AIRBUS INDUSTRIE_A320-214",2001
"AIRBUS INDUSTRIE_A320-231",415
"AIRBUS INDUSTRIE_A320-232",1686
"AIRBUS INDUSTRIE_A321-211",2001
"AIRBUS INDUSTRIE_A321-231",563
"AIRBUS INDUSTRIE_A330-223",390
"AIRBUS INDUSTRIE_A340-313",522
"AIRBUS_A319-112",81
"AIRBUS_A319-114",2001
"AIRBUS_A319-115",5
"AIRBUS_A319-131",1985
"AIRBUS_A319-132",2001
"AIRBUS_A320-211",1834
"AIRBUS_A320-212",1961
"AIRBUS_A320-214",2001
"AIRBUS_A320-232",358
"AIRBUS_A321-211",2001
"AIRBUS_A321-231",2001
"AIRBUS_A330-223",2001
"AIRBUS_A330-243",2001
"AIRBUS_A330-323",2001
"AMERICAN AIRCRAFT INC_FALCON XP",1668
"AVIAT AIRCRAFT INC_A-1B",996
"AVIONS MARCEL DASSAULT_MYSTERE FALCON 900",2001
"BARKER JACK L_ZODIAC 601HDS",138
"BEECH_65-A90",1966
"BEECH_E-90",707
"BELL_206B",1684
"BELL_230",551
"BOEING_717-200",1
"BOEING_737-301",1616
"BOEING_737-317",2001
"BOEING_737-3A4",2001
"BOEING_737-3G7",1098
"BOEING_737-3H4",1559
"BOEING_737-3K2",1359
"BOEING_737-3L9",860
"BOEING_737-3Q8",1225
"BOEING_737-3T5",2001
"BOEING_737-3TO",732
"BOEING_737-3Y0",1612
"BOEING_737-401",1961
"BOEING_737-4B7",2000
"BOEING_737-524",2001
"BOEING_737-5H4",1019
"BOEING_737-705",1841
"BOEING_737-724",2001
"BOEING_737-732",2001
"BOEING_737-76N",14
"BOEING_737-76Q",638
"BOEING_737-7AD",1101
"BOEING_737-7BD",9
"BOEING_737-7BX",1056
"BOEING_737-7H4",1
"BOEING_737-7Q8",1659
"BOEING_737-824",2001
"BOEING_737-832",2001
"BOEING_737-890",2001
"BOEING_737-8FH",2001
"BOEING_737-8H4",2001
"BOEING_737-924",1137
"BOEING_737-924ER",1981
"BOEING_737-990",941
"BOEING_737-990ER",1999
"BOEING_747-451",452
"BOEING_757-212",2001
"BOEING_757-222",2001
"BOEING_757-223",1999
"BOEING_757-224",2001
"BOEING_757-231",2001
"BOEING_757-232",2001
"BOEING_757-251",1977
"BOEING_757-26D",2001
"BOEING_757-2B7",2001
"BOEING_757-2Q8",2001
"BOEING_757-324",1
"BOEING_757-33N",1025
"BOEING_757-351",372
"BOEING_767-201",744
"BOEING_767-223",2001
"BOEING_767-224",1568
"BOEING_767-322",844
"BOEING_767-323",403
"BOEING_767-324",2001
"BOEING_767-332",2001
"BOEING_767-3P6",926
"BOEING_767-424ER",1094
"BOEING_767-432ER",143
"BOEING_777-200",219
"BOEING_777-222",2001
"BOEING_777-224",6
"BOEING_777-232",2001
"BOEING_787-8",2001
"BOEING_MD-90-30",55
"BOMBARDIER INC_CL-600-2B19",1
"BOMBARDIER INC_CL-600-2C10",1
"BOMBARDIER INC_CL-600-2D24",1
"CANADAIR LTD_CF-5D",1216
"CANADAIR_CL-600-2B19",1
"CESSNA_150",796
"CESSNA_172E",532
"CESSNA_172M",482
"CESSNA_172N",1986
"CESSNA_210-5(205)",1893
"CESSNA_310Q",1675
"CESSNA_421C",1514
"CESSNA_550",508
"CESSNA_A185F",137
"CIRRUS DESIGN CORP_SR22",1617
"DEHAVILLAND_OTTER DHC-3",1756
"DOUGLAS_DC-7BF",1378
"EMBRAER_EMB-145",1
"EMBRAER_EMB-145LR",1
"EMBRAER_EMB-145XR",1
"EMBRAER_ERJ 190-100 IGW",2001
"FRIEDEMANN JON_VANS AIRCRAFT RV6",753
"GULFSTREAM AEROSPACE_G-IV",418
"GULFSTREAM AEROSPACE_G1159B",1307
"HURLEY JAMES LARRY_FALCON-XP",1717
"JOHN G HESS_AT-5",2001
"KILDALL GARY_FALCON-XP",1857
"LAMBERT RICHARD_FALCON XP",269
"LEARJET INC_60",1852
"LEBLANC GLENN T_FALCON XP",1874
"MARZ BARRY_KITFOX IV",1764
"MCDONNELL DOUGLAS AIRCRAFT CO_MD-88",2001
"MCDONNELL DOUGLAS CORPORATION_MD-88",2000
"MCDONNELL DOUGLAS_DC-9-51",1950
"MCDONNELL DOUGLAS_DC-9-82(MD-82)",2001
"MCDONNELL DOUGLAS_DC-9-83(MD-83)",1997
"MCDONNELL DOUGLAS_MD-90-30",133
"PAIR MIKE E_FALCON XP",1811
"PIPER_PA-28-180",1970
"PIPER_PA-31-350",1957
"PIPER_PA-32R-300",1766
"PIPER_PA-32RT-300",977
"ROBINSON HELICOPTER CO_R66",425
"SIKORSKY_S-76A",1564
"STEWART MACO_FALCON-XP",1745
"STEWART MACO_FALCON XP",1165
