"name","value"
"AGUSTA SPA",1582
"AIRBUS",2001
"AIRBUS INDUSTRIE",2001
"AMERICAN AIRCRAFT INC",1668
"AVIAT AIRCRAFT INC",996
"AVIONS MARCEL DASSAULT",2001
"BARKER JACK L",138
"BEECH",1554
"BELL",1202
"BOEING",2001
"BOMBARDIER INC",1
"CANADAIR",1
"CANADAIR LTD",1216
"CESSNA",1036
"CIRRUS DESIGN CORP",1617
"DEHAVILLAND",1756
"DOUGLAS",1378
"EMBRAER",1
"FRIEDEMANN JON",753
"GULFSTREAM AEROSPACE",1145
"HURLEY JAMES LARRY",1717
"JOHN G HESS",2001
"KILDALL GARY",1857
"LAMBERT RICHARD",269
"LEARJET INC",1852
"LEBLANC GLENN T",1874
"MARZ BARRY",1764
"MCDONNELL DOUGLAS",2001
"MCDONNELL DOUGLAS AIRCRAFT CO",2001
"MCDONNELL DOUGLAS CORPORATION",2000
"PAIR MIKE E",1811
"PIPER",1991
"ROBINSON HELICOPTER CO",425
"SIKORSKY",1564
"STEWART MACO",1590
