"name","value"
"AGUSTA SPA",885
"AIRBUS",1001
"AIRBUS INDUSTRIE",1001
"AMERICAN AIRCRAFT INC",852
"AVIAT AIRCRAFT INC",628
"AVIONS MARCEL DASSAULT",1001
"BARKER JACK L",61
"BEECH",899
"BELL",772
"BOEING",1001
"BOMBARDIER INC",1
"CANADAIR",1
"CANADAIR LTD",497
"CESSNA",789
"CIRRUS DESIGN CORP",777
"DEHAVILLAND",893
"DOUGLAS",600
"EMBRAER",1
"FRIEDEMANN JON",354
"GULFSTREAM AEROSPACE",687
"HURLEY JAMES LARRY",921
"JOHN G HESS",1001
"KILDALL GARY",876
"LAMBERT RICHARD",325
"LEARJET INC",961
"LEBLANC GLENN T",974
"MARZ BARRY",857
"MCDONNELL DOUGLAS",1001
"MCDONNELL DOUGLAS AIRCRAFT CO",1001
"MCDONNELL DOUGLAS CORPORATION",1001
"PAIR MIKE E",950
"PIPER",999
"ROBINSON HELICOPTER CO",114
"SIKORSKY",728
"STEWART MACO",724
