"name","value"
"ABQ",24
"ACK",1941
"ALB",1
"ANC",1517
"ATL",2001
"AUS",1609
"AVL",1144
"BDL",2
"BGR",1
"BHM",1
"BNA",1
"BOS",2001
"BTV",1
"BUF",48
"BUR",1582
"BWI",1
"BZN",1429
"CAE",1
"CAK",1
"CHO",39
"CHS",2
"CLE",1
"CLT",2001
"CMH",120
"CRW",70
"CVG",1
"DAY",1
"DCA",1999
"DEN",44
"DFW",1949
"DSM",1
"DTW",1939
"EGE",919
"EYW",1939
"FLL",1281
"GRR",1
"GSO",1
"GSP",1
"HDN",639
"HNL",2001
"HOU",350
"IAD",1
"IAH",2001
"ILM",1
"IND",39
"JAC",9
"JAX",1
"LAS",2001
"LAX",2001
"LEX",2001
"LGB",745
"MCI",1
"MCO",2001
"MDW",1
"MEM",1
"MHT",1
"MIA",2001
"MKE",1
"MSN",1
"MSP",1653
"MSY",62
"MTJ",448
"MVY",1820
"MYR",468
"OAK",595
"OKC",1
"OMA",1
"ORD",192
"ORF",1
"PBI",1135
"PDX",7
"PHL",1036
"PHX",2001
"PIT",34
"PSP",2001
"PVD",1
"PWM",1
"RDU",1
"RIC",1
"ROC",1
"RSW",2001
"SAN",2001
"SAT",1
"SAV",4
"SBN",88
"SDF",1
"SEA",2001
"SFO",2001
"SJC",1621
"SLC",2001
"SMF",3
"SNA",2001
"SRQ",2001
"STL",1
"SYR",9
"TPA",1962
"TUL",1
"TVC",22
"TYS",1
"XNA",1893
