"name","value"
"ABQ",2
"ACK",960
"ALB",1
"ANC",818
"ATL",1001
"AUS",740
"AVL",755
"BDL",1
"BGR",1
"BHM",1
"BNA",1
"BOS",1001
"BTV",1
"BUF",160
"BUR",531
"BWI",1
"BZN",727
"CAE",1
"CAK",1
"CHO",33
"CHS",2
"CLE",2
"CLT",1001
"CMH",25
"CRW",58
"CVG",1
"DAY",1
"DCA",1001
"DEN",1
"DFW",1000
"DSM",1
"DTW",999
"EGE",548
"EYW",902
"FLL",203
"GRR",1
"GSO",1
"GSP",1
"HDN",234
"HNL",1001
"HOU",156
"IAD",1
"IAH",1001
"ILM",1
"IND",158
"JAC",5
"JAX",1
"LAS",1001
"LAX",1001
"LEX",1001
"LGB",409
"MCI",1
"MCO",1001
"MDW",1
"MEM",1
"MHT",1
"MIA",1001
"MKE",1
"MSN",1
"MSP",957
"MSY",35
"MTJ",303
"MVY",923
"MYR",148
"OAK",161
"OKC",1
"OMA",1
"ORD",110
"ORF",1
"PBI",162
"PDX",1
"PHL",815
"PHX",1001
"PIT",66
"PSP",1001
"PVD",1
"PWM",1
"RDU",1
"RIC",1
"ROC",1
"RSW",1001
"SAN",1001
"SAT",1
"SAV",1
"SBN",66
"SDF",1
"SEA",1001
"SFO",1001
"SJC",798
"SLC",1001
"SMF",2
"SNA",1001
"SRQ",1001
"STL",1
"SYR",1
"TPA",1000
"TUL",1
"TVC",7
"TYS",1
"XNA",943
