"name","value"
"AGUSTA SPA_A109E",885
"AIRBUS INDUSTRIE_A319-112",1001
"AIRBUS INDUSTRIE_A319-114",1001
"AIRBUS INDUSTRIE_A319-131",265
"AIRBUS INDUSTRIE_A319-132",958
"AIRBUS INDUSTRIE_A320-211",1001
"AIRBUS INDUSTRIE_A320-212",1001
"AIRBUS INDUSTRIE_A320-214",1001
"AIRBUS INDUSTRIE_A320-231",297
"AIRBUS INDUSTRIE_A320-232",859
"AIRBUS INDUSTRIE_A321-211",1001
"AIRBUS INDUSTRIE_A321-231",138
"AIRBUS INDUSTRIE_A330-223",251
"AIRBUS INDUSTRIE_A340-313",331
"AIRBUS_A319-112",34
"AIRBUS_A319-114",1001
"AIRBUS_A319-115",2
"AIRBUS_A319-131",944
"AIRBUS_A319-132",903
"AIRBUS_A320-211",879
"AIRBUS_A320-212",962
"AIRBUS_A320-214",1001
"AIRBUS_A320-232",23
"AIRBUS_A321-211",1001
"AIRBUS_A321-231",1001
"AIRBUS_A330-223",1001
"AIRBUS_A330-243",1001
"AIRBUS_A330-323",1001
"AMERICAN AIRCRAFT INC_FALCON XP",852
"AVIAT AIRCRAFT INC_A-1B",628
"AVIONS MARCEL DASSAULT_MYSTERE FALCON 900",1001
"BARKER JACK L_ZODIAC 601HDS",61
"BEECH_65-A90",996
"BEECH_E-90",503
"BELL_206B",896
"BELL_230",421
"BOEING_717-200",1
"BOEING_737-301",860
"BOEING_737-317",1001
"BOEING_737-3A4",1001
"BOEING_737-3G7",139
"BOEING_737-3H4",699
"BOEING_737-3K2",725
"BOEING_737-3L9",227
"BOEING_737-3Q8",482
"BOEING_737-3T5",1001
"BOEING_737-3TO",519
"BOEING_737-3Y0",857
"BOEING_737-401",992
"BOEING_737-4B7",1001
"BOEING_737-524",1001
"BOEING_737-5H4",124
"BOEING_737-705",896
"BOEING_737-724",1001
"BOEING_737-732",1001
"BOEING_737-76N",2
"BOEING_737-76Q",267
"BOEING_737-7AD",692
"BOEING_737-7BD",1
"BOEING_737-7BX",540
"BOEING_737-7H4",1
"BOEING_737-7Q8",790
"BOEING_737-824",1001
"BOEING_737-832",1001
"BOEING_737-890",1001
"BOEING_737-8FH",1001
"BOEING_737-8H4",1001
"BOEING_737-924",118
"BOEING_737-924ER",202
"BOEING_737-990",203
"BOEING_737-990ER",996
"BOEING_747-451",255
"BOEING_757-212",1001
"BOEING_757-222",1001
"BOEING_757-223",997
"BOEING_757-224",1001
"BOEING_757-231",1001
"BOEING_757-232",1001
"BOEING_757-251",995
"BOEING_757-26D",1001
"BOEING_757-2B7",1001
"BOEING_757-2Q8",1001
"BOEING_757-324",1
"BOEING_757-33N",312
"BOEING_757-351",229
"BOEING_767-201",437
"BOEING_767-223",1001
"BOEING_767-224",860
"BOEING_767-322",89
"BOEING_767-323",125
"BOEING_767-324",1001
"BOEING_767-332",1001
"BOEING_767-3P6",533
"BOEING_767-424ER",431
"BOEING_767-432ER",25
"BOEING_777-200",24
"BOEING_777-222",677
"BOEING_777-224",3
"BOEING_777-232",1001
"BOEING_787-8",1001
"BOEING_MD-90-30",93
"BOMBARDIER INC_CL-600-2B19",4
"BOMBARDIER INC_CL-600-2C10",1
"BOMBARDIER INC_CL-600-2D24",1
"CANADAIR LTD_CF-5D",497
"CANADAIR_CL-600-2B19",1
"CESSNA_150",622
"CESSNA_172E",167
"CESSNA_172M",384
"CESSNA_172N",997
"CESSNA_210-5(205)",949
"CESSNA_310Q",911
"CESSNA_421C",868
"CESSNA_550",390
"CESSNA_A185F",120
"CIRRUS DESIGN CORP_SR22",777
"DEHAVILLAND_OTTER DHC-3",893
"DOUGLAS_DC-7BF",600
"EMBRAER_EMB-145",1
"EMBRAER_EMB-145LR",1
"EMBRAER_EMB-145XR",1
"EMBRAER_ERJ 190-100 IGW",1001
"FRIEDEMANN JON_VANS AIRCRAFT RV6",354
"GULFSTREAM AEROSPACE_G-IV",278
"GULFSTREAM AEROSPACE_G1159B",743
"HURLEY JAMES LARRY_FALCON-XP",921
"JOHN G HESS_AT-5",1001
"KILDALL GARY_FALCON-XP",876
"LAMBERT RICHARD_FALCON XP",325
"LEARJET INC_60",961
"LEBLANC GLENN T_FALCON XP",974
"MARZ BARRY_KITFOX IV",857
"MCDONNELL DOUGLAS AIRCRAFT CO_MD-88",1001
"MCDONNELL DOUGLAS CORPORATION_MD-88",1001
"MCDONNELL DOUGLAS_DC-9-51",953
"MCDONNELL DOUGLAS_DC-9-82(MD-82)",1001
"MCDONNELL DOUGLAS_DC-9-83(MD-83)",1001
"MCDONNELL DOUGLAS_MD-90-30",92
"PAIR MIKE E_FALCON XP",950
"PIPER_PA-28-180",992
"PIPER_PA-31-350",987
"PIPER_PA-32R-300",888
"PIPER_PA-32RT-300",417
"ROBINSON HELICOPTER CO_R66",114
"SIKORSKY_S-76A",728
"STEWART MACO_FALCON-XP",706
"STEWART MACO_FALCON XP",727
