"name","value"
"AGUSTA SPA",682
"AIRBUS",1001
"AIRBUS INDUSTRIE",1001
"AMERICAN AIRCRAFT INC",727
"AVIAT AIRCRAFT INC",414
"AVIONS MARCEL DASSAULT",1001
"BARKER JACK L",95
"BEECH",638
"BELL",784
"BOEING",1001
"BOMBARDIER INC",1
"CANADAIR",1
"CANADAIR LTD",581
"CESSNA",611
"CIRRUS DESIGN CORP",875
"DEHAVILLAND",847
"DOUGLAS",925
"EMBRAER",1
"FRIEDEMANN JON",348
"GULFSTREAM AEROSPACE",718
"HURLEY JAMES LARRY",812
"JOHN G HESS",1001
"KILDALL GARY",861
"LAMBERT RICHARD",193
"LEARJET INC",877
"LEBLANC GLENN T",880
"MARZ BARRY",912
"MCDONNELL DOUGLAS",1001
"MCDONNELL DOUGLAS AIRCRAFT CO",1001
"MCDONNELL DOUGLAS CORPORATION",1000
"PAIR MIKE E",846
"PIPER",996
"ROBINSON HELICOPTER CO",222
"SIKORSKY",857
"STEWART MACO",662
