"name","value"
"150",796
"172E",532
"172M",482
"172N",1986
"206B",1684
"210-5(205)",1893
"230",551
"310Q",1675
"421C",1514
"550",508
"60",1852
"65-A90",1966
"717-200",1
"737-301",1616
"737-317",2001
"737-3A4",2001
"737-3G7",1098
"737-3H4",1559
"737-3K2",1359
"737-3L9",860
"737-3Q8",1225
"737-3T5",2001
"737-3TO",732
"737-3Y0",1612
"737-401",1961
"737-4B7",2000
"737-524",2001
"737-5H4",1019
"737-705",1841
"737-724",2001
"737-732",2001
"737-76N",14
"737-76Q",638
"737-7AD",1101
"737-7BD",9
"737-7BX",1056
"737-7H4",1
"737-7Q8",1659
"737-824",2001
"737-832",2001
"737-890",2001
"737-8FH",2001
"737-8H4",2001
"737-924",1137
"737-924ER",1981
"737-990",941
"737-990ER",1999
"747-451",452
"757-212",2001
"757-222",2001
"757-223",1999
"757-224",2001
"757-231",2001
"757-232",2001
"757-251",1977
"757-26D",2001
"757-2B7",2001
"757-2Q8",2001
"757-324",1
"757-33N",1025
"757-351",372
"767-201",744
"767-223",2001
"767-224",1568
"767-322",844
"767-323",403
"767-324",2001
"767-332",2001
"767-3P6",926
"767-424ER",1094
"767-432ER",143
"777-200",219
"777-222",2001
"777-224",6
"777-232",2001
"787-8",2001
"A-1B",996
"A109E",1582
"A185F",137
"A319-112",2001
"A319-114",2001
"A319-115",5
"A319-131",777
"A319-132",1987
"A320-211",2001
"A320-212",2001
"A320-214",2001
"A320-231",415
"A320-232",841
"A321-211",2001
"A321-231",2001
"A330-223",1194
"A330-243",2001
"A330-323",2001
"A340-313",522
"AT-5",2001
"CF-5D",1216
"CL-600-2B19",1
"CL-600-2C10",1
"CL-600-2D24",1
"DC-7BF",1378
"DC-9-51",1950
"DC-9-82(MD-82)",2001
"DC-9-83(MD-83)",1997
"E-90",707
"EMB-145",1
"EMB-145LR",1
"EMB-145XR",1
"ERJ 190-100 IGW",2001
"FALCON-XP",1935
"FALCON XP",1506
"G-IV",418
"G1159B",1307
"KITFOX IV",1764
"MD-88",2001
"MD-90-30",17
"MYSTERE FALCON 900",2001
"OTTER DHC-3",1756
"PA-28-180",1970
"PA-31-350",1957
"PA-32R-300",1766
"PA-32RT-300",977
"R66",425
"S-76A",1564
"SR22",1617
"VANS AIRCRAFT RV6",753
"ZODIAC 601HDS",138
