"name","value"
"150",531
"172E",709
"172M",417
"172N",985
"206B",859
"210-5(205)",907
"230",580
"310Q",932
"421C",652
"550",145
"60",877
"65-A90",973
"717-200",1
"737-301",1001
"737-317",1001
"737-3A4",1001
"737-3G7",495
"737-3H4",839
"737-3K2",624
"737-3L9",752
"737-3Q8",476
"737-3T5",1001
"737-3TO",273
"737-3Y0",758
"737-401",954
"737-4B7",998
"737-524",1001
"737-5H4",881
"737-705",920
"737-724",1001
"737-732",1001
"737-76N",9
"737-76Q",612
"737-7AD",655
"737-7BD",34
"737-7BX",327
"737-7H4",1
"737-7Q8",746
"737-824",1001
"737-832",1001
"737-890",1001
"737-8FH",1001
"737-8H4",1001
"737-924",756
"737-924ER",1001
"737-990",343
"737-990ER",999
"747-451",164
"757-212",1001
"757-222",1001
"757-223",1001
"757-224",1001
"757-231",1001
"757-232",1001
"757-251",991
"757-26D",999
"757-2B7",1001
"757-2Q8",1001
"757-324",13
"757-33N",528
"757-351",152
"767-201",313
"767-223",1001
"767-224",720
"767-322",364
"767-323",114
"767-324",1001
"767-332",1001
"767-3P6",848
"767-424ER",780
"767-432ER",153
"777-200",63
"777-222",1001
"777-224",25
"777-232",1001
"787-8",1001
"A-1B",414
"A109E",682
"A185F",133
"A319-112",1001
"A319-114",1001
"A319-115",1
"A319-131",529
"A319-132",983
"A320-211",1001
"A320-212",1001
"A320-214",1001
"A320-231",400
"A320-232",763
"A321-211",1001
"A321-231",1001
"A330-223",547
"A330-243",1001
"A330-323",1001
"A340-313",170
"AT-5",1001
"CF-5D",581
"CL-600-2B19",1
"CL-600-2C10",1
"CL-600-2D24",1
"DC-7BF",925
"DC-9-51",964
"DC-9-82(MD-82)",1001
"DC-9-83(MD-83)",994
"E-90",247
"EMB-145",1
"EMB-145LR",1
"EMB-145XR",1
"ERJ 190-100 IGW",982
"FALCON-XP",904
"FALCON XP",612
"G-IV",157
"G1159B",793
"KITFOX IV",912
"MD-88",1001
"MD-90-30",3
"MYSTERE FALCON 900",1001
"OTTER DHC-3",847
"PA-28-180",984
"PA-31-350",959
"PA-32R-300",796
"PA-32RT-300",650
"R66",222
"S-76A",857
"SR22",875
"VANS AIRCRAFT RV6",348
"ZODIAC 601HDS",95
